id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
320825,ES-0109,medium_airport,"Folgueroles Airfield",41.9527,2.3072,1670,EU,Spain,ES,Catalonia,ES-CT,CT,Folgueroles,0,,,,,,Osona,250,2021-03-10T00:33:06+00:00
315438,ES-0018,small_airport,AeroSidonia,36.44026,-5.94093,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2015-09-16T06:52:25+00:00
315895,ES-0027,small_airport,"Aerodromo El Judio",37.840394,-4.7096584,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2015-10-20T03:39:53+00:00
320568,ES-0079,small_airport,"Aeródromo La Balanzona",37.9617333333,-4.80705,1969,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2016-09-28T05:55:43+00:00
320751,ES-0096,small_airport,Guadix,37.412624,-3.075759,3281,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,Conejo,50,2016-10-12T01:51:17+00:00
321046,ES-0114,small_airport,"Aeródromo ""Puente de Genave""",38.3666778,-2.7941751,1837,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,"Hotel Don Juan",50,2016-11-05T01:33:47+00:00
321068,ES-0120,small_airport,"Villafranca de Cordoba",37.936706,-4.532632,656,EU,Spain,ES,Andalucía,ES-AN,AN,,0,LEVJ,,,,,,50,2023-06-14T22:19:28+00:00
325234,ES-0235,small_airport,"Santiago-Pontones Airstrip",38.0909891,-2.6484287,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2017-10-19T04:26:28+00:00
331329,ES-0248,small_airport,"Atlas Center Vuelos de Drones",38.1392261,-3.1738682,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2019-05-28T07:06:15+00:00
331531,ES-0257,small_airport,"Cabezas Rubias Airstrip",37.748234,-7.096699,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2019-06-29T09:36:04+00:00
331944,ES-0264,small_airport,"Aeródromo  Forestal Villaviciosa de Córdoba",38.05406,-5.04182,2067,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2019-08-19T11:07:01+00:00
343208,ES-0295,small_airport,"Beas Airstrip",37.41816,-6.76054,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2021-04-18T07:27:21+00:00
521992,ES-0340,small_airport,"Aeródromo de La Ina",36.62949,-6.01826,,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2024-03-03T05:18:56+00:00
